,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
345,MARIO MINUCHE MURILLO,EL ORO,MACHALA,LA PROVIDENCIA,444,22
346,REPUBLICA DEL ECUADOR,EL ORO,MACHALA,LA PROVIDENCIA,495,27
347,PROFESOR FLORESMILO RODRIGUEZ ARGUELLO,EL ORO,MACHALA,LA PROVIDENCIA,213,9
348,SOSENA BARREZUETA DE ZAMORA,EL ORO,MACHALA,LA PROVIDENCIA,413,15
350,FRANCISCO OCHOA ORTIZ,EL ORO,MACHALA,LA PROVIDENCIA,226,8
351,HEROES DEL CENEPA,EL ORO,MACHALA,LA PROVIDENCIA,168,10
352,JORGE EFREN REYES MENDEZ,EL ORO,MACHALA,LA PROVIDENCIA,149,8
355,SOL NACIENTE,EL ORO,MACHALA,MACHALA,74,8
358,ALBERTO CRUZ MURILLO,EL ORO,MACHALA,MACHALA,629,24
359,DR ALFREDO PAREJA DIEZCANSECO,EL ORO,MACHALA,MACHALA,411,18
362,LOS HEROES DE ARMAGEDON,EL ORO,MACHALA,MACHALA,226,10
363,ALEXANDER,EL ORO,MACHALA,MACHALA,149,16
364,HOUSE SCHOOL,EL ORO,MACHALA,MACHALA,209,20
365,LUZ DEL MUNDO,EL ORO,MACHALA,MACHALA,85,10
366,MARISCAL SUCRE,EL ORO,MACHALA,MACHALA,240,13
367,9  DE MAYO,EL ORO,MACHALA,MACHALA,1299,20
368,24 DE MAYO,EL ORO,MACHALA,MACHALA,181,15
369,JAVIER,EL ORO,MACHALA,MACHALA,582,33
370,PARAISO DE LOS NIÑOS,EL ORO,MACHALA,MACHALA,287,19
371,SARA MOLINA DE GARCIA,EL ORO,MACHALA,MACHALA,300,13
372,ROSA ORTEGA,EL ORO,MACHALA,MACHALA,39,8
373,CELIA PALACIOS ORDOÑEZ,EL ORO,MACHALA,MACHALA,237,9
374,MARIA DE FATIMA,EL ORO,MACHALA,MACHALA,129,8
375,CENTRO DE FORMACION  ARTESANAL FISCAL  MACHALA,EL ORO,MACHALA,MACHALA,442,18
376,JORGE MURILLO UGARTE,EL ORO,MACHALA,MACHALA,511,23
377,MARIANA BUSTAMANTE DE GIA,EL ORO,MACHALA,MACHALA,146,9
378,LICEO CRISTIANO MACHALA,EL ORO,MACHALA,MACHALA,105,7
379,PABLO HANNIBAL VELA,EL ORO,MACHALA,LA PROVIDENCIA,160,11
380,EL MUNDO DE LOS NIÑOS,EL ORO,MACHALA,MACHALA,48,2
382,MARIA FRANCO DE CARRILLO,EL ORO,MACHALA,MACHALA,178,8
383,RAMOS DE OLIVA ECHEVERRIA1,EL ORO,MACHALA,MACHALA,194,11
384,LUIS BALLADARES CHUCHUCA,EL ORO,MACHALA,MACHALA,157,10
386,CIUDAD DE MACHALA,EL ORO,MACHALA,MACHALA,909,35
387,EULOGIO SERRANO ARMIJOS,EL ORO,MACHALA,MACHALA,587,24
388,AUGUSTA MORA DE FRANCO,EL ORO,MACHALA,MACHALA,349,17
390,AMAZONAS,EL ORO,MACHALA,MACHALA,673,33
391,INSTITUTO DE EDUCACION ESPECIAL DE CIEGOS Y SORDOS,EL ORO,MACHALA,MACHALA,86,10
392,SIMON BOLIVAR,EL ORO,MACHALA,MACHALA,866,30
393,LEOPOLDO MUÑOZ RODRIGUEZ,EL ORO,MACHALA,MACHALA,198,13
394,25 DE JUNIO,EL ORO,MACHALA,MACHALA,401,20
395,24 DE JUNIO,EL ORO,MACHALA,MACHALA,296,15
396,EDUCACION  ESPECIAL DE EL ORO,EL ORO,MACHALA,MACHALA,186,23
398,VICTOR  ANTONIO MORENO MOSQUERA,EL ORO,MACHALA,PUERTO BOLIVAR,554,19
400,FUENTE DE VIDA,EL ORO,MACHALA,MACHALA,30,2
402,MIS PRIMERAS LETRAS,EL ORO,MACHALA,MACHALA,6,2
403,ARCO IRIS,EL ORO,MACHALA,MACHALA,129,9
404,NUEVA SEMILLITA,EL ORO,MACHALA,MACHALA,102,12
405,CENTRO FORMACION ARTESANAL LADY FORM,EL ORO,MACHALA,MACHALA,100,5
406,RENE,EL ORO,MACHALA,MACHALA,631,27
407,CENTRO DE FORMACION ARTESANAL PARTICULAR AMERICA,EL ORO,MACHALA,MACHALA,31,7
408,KICHWAKUNAPAK AMAUTA YACHAY,EL ORO,MACHALA,MACHALA,42,3
409,CELESTE MURILLO,EL ORO,MACHALA,MACHALA,2,7
410,LOS AMIGUITOS,EL ORO,MACHALA,MACHALA,54,4
411,ATLANTIC COLLEGE,EL ORO,MACHALA,MACHALA,68,9
412,ROMEO MURILLO PAZMIÑO,EL ORO,MACHALA,MACHALA,627,24
413,MARIOLA JULIA,EL ORO,MACHALA,NUEVE DE MAYO,6,7
414,CENTRO 11 DE JUNIO POPULAR PERMANENTE,EL ORO,MACHALA,MACHALA,102,4
415,SANTA ELENA,EL ORO,MACHALA,MACHALA,132,3
416,SGTO HECTOR CHICA ESPINOZA,EL ORO,MACHALA,MACHALA,66,6
417,AMERICANO ELGA,EL ORO,MACHALA,MACHALA,110,15
419,GALO PLAZA LASSO,EL ORO,MACHALA,LA PROVIDENCIA,161,7
420,CLARA FERNANDEZ MARQUEZ,EL ORO,MACHALA,MACHALA,271,16
421,TOMAS LARREA,EL ORO,MACHALA,MACHALA,72,3
422,DR MANUEL BENJAMIN CARRION MORA,EL ORO,MACHALA,MACHALA,605,21
423,FRANCISCO XAVIER TRUJILLO,EL ORO,MACHALA,MACHALA,263,16
424,GALO PLAZA LASSO,EL ORO,MACHALA,LA PROVIDENCIA,735,25
425,MARIA CELIA ERNESTINA MORA SARES,EL ORO,MACHALA,MACHALA,157,10
