,Nombre de la Institución Educativa,Provincia
1433,VICENTE PAZ,LOJA
1434,JOSE VASCONCELOS,LOJA
1435,COLEGIO NACIONAL DR BALTAZAR AGUIRRE,LOJA
1436,DIRIGENTES DEL FUTURO,LOJA
1437,VICTOR GERARDO PILCO,LOJA
1438,FRANCISCO EGUIGUREN,LOJA
1439,LEONILA CORIZANDRA TANDAZO ATARIHUANA,LOJA
1440,DR LUIS EMILIO RODRIGUEZ,LOJA
1441,MANUEL ESTEBAN GODOY O.,LOJA
1442,RAFAEL RODRIGUEZ PALACIOS,LOJA
1443,CAMILO DESTRUGE ILLINWORTH,LOJA
1444,MARTHA BUCARAM DE ROLDOS,LOJA
1445,TEODORO WOLF,LOJA
1446,MANUEL GOMEZ  DE SALAZAR,LOJA
1447,ROLANDO MERCHAN SEMERIA,LOJA
1448,ELVIA BÉLGICA JIMÉNEZ DE GONZÁLEZ,LOJA
1449,VICTOR MANUEL BURNEO,LOJA
1450,LUIS VIVES,LOJA
1451,ESCUELA ANGEL MINOS CUEVA,LOJA
1452,UNIDAD EDUCATIVA MANUEL JOSÉ  RODRIGUEZ,LOJA
1453,MARIA MONTESSORI,LOJA
1454,NELSON BERMEO,LOJA
1455,BLANCA CANO PALACIOS,LOJA
1456,MANUEL BENIGNO FIGUEROA CARRION,LOJA
1457,16 DE JULIO,LOJA
1458,COLEGIO NACIONAL RUMISHITANA,LOJA
